jenis_sepatu,suhu,kelembapan,tingkat_kebasahan,ketebalan_bahan,waktu
Mesh,41.0,83.8,sangat_basah,tipis,209
Mesh,39.2,63.9,sangat_basah,tipis,215
Mesh,38.5,81.7,sangat_basah,tipis,221
Mesh,38.2,84.2,sangat_basah,tipis,218
Mesh,44.7,65.3,sangat_basah,tipis,189
Mesh,40.4,73.1,sangat_basah,tipis,203
Mesh,41.5,67.3,sangat_basah,tipis,196
Mesh,40.3,69.2,sangat_basah,tipis,207
Mesh,41.6,79.6,sangat_basah,tipis,203
Mesh,42.7,61.2,sangat_basah,tipis,189
Mesh,42.9,64.3,sangat_basah,sedang,203
Mesh,43.5,71.0,sangat_basah,sedang,204
Mesh,39.0,72.4,sangat_basah,sedang,224
Mesh,40.5,73.0,sangat_basah,sedang,209
Mesh,42.4,64.6,sangat_basah,sedang,211
Mesh,38.7,64.9,sangat_basah,sedang,220
Mesh,38.4,68.1,sangat_basah,sedang,213
Mesh,44.6,68.9,sangat_basah,sedang,198
Mesh,40.2,73.6,sangat_basah,sedang,218
Mesh,38.6,84.7,sangat_basah,sedang,221
Mesh,44.2,65.0,sangat_basah,tebal,223
Mesh,44.2,61.9,sangat_basah,tebal,221
Mesh,40.9,62.9,sangat_basah,tebal,229
Mesh,40.6,61.6,sangat_basah,tebal,232
Mesh,40.5,68.1,sangat_basah,tebal,233
Mesh,45.1,71.8,sangat_basah,tebal,223
Mesh,39.0,77.8,sangat_basah,tebal,237
Mesh,44.2,72.3,sangat_basah,tebal,227
Mesh,42.2,70.7,sangat_basah,tebal,225
Mesh,40.5,72.7,sangat_basah,tebal,229
Mesh,45.3,66.2,basah,tipis,182
Mesh,39.8,61.9,basah,tipis,187
Mesh,40.3,64.0,basah,tipis,193
Mesh,44.4,64.7,basah,tipis,180
Mesh,45.1,73.5,basah,tipis,180
Mesh,39.8,70.7,basah,tipis,190
Mesh,44.5,81.5,basah,tipis,180
Mesh,41.3,65.6,basah,tipis,185
Mesh,39.0,68.4,basah,tipis,193
Mesh,42.2,77.6,basah,tipis,188
Mesh,40.9,84.3,basah,sedang,192
Mesh,40.3,60.9,basah,sedang,198
Mesh,42.9,72.6,basah,sedang,192
Mesh,39.2,72.2,basah,sedang,205
Mesh,45.9,66.1,basah,sedang,188
Mesh,39.9,78.2,basah,sedang,207
Mesh,40.9,75.8,basah,sedang,202
Mesh,38.7,80.9,basah,sedang,218
Mesh,40.6,64.7,basah,sedang,199
Mesh,43.4,60.4,basah,sedang,186
Mesh,42.1,65.7,basah,tebal,204
Mesh,43.5,69.7,basah,tebal,208
Mesh,45.5,63.4,basah,tebal,194
Mesh,45.4,81.9,basah,tebal,201
Mesh,40.1,76.5,basah,tebal,218
Mesh,42.2,66.0,basah,tebal,215
Mesh,38.7,82.4,basah,tebal,224
Mesh,40.7,68.7,basah,tebal,218
Mesh,43.8,82.4,basah,tebal,208
Mesh,43.1,62.1,basah,tebal,207
Mesh,39.3,82.5,sedang,tipis,182
Mesh,38.0,64.0,sedang,tipis,180
Mesh,42.4,77.3,sedang,tipis,180
Mesh,43.7,65.9,sedang,tipis,180
Mesh,40.6,78.7,sedang,tipis,181
Mesh,43.3,74.2,sedang,tipis,180
Mesh,38.7,69.2,sedang,tipis,180
Mesh,45.8,69.8,sedang,tipis,180
Mesh,45.1,75.8,sedang,tipis,180
Mesh,42.6,72.3,sedang,tipis,180
Mesh,39.6,78.1,sedang,sedang,183
Mesh,45.5,83.8,sedang,sedang,180
Mesh,45.3,69.3,sedang,sedang,180
Mesh,45.7,81.3,sedang,sedang,180
Mesh,40.4,69.6,sedang,sedang,182
Mesh,39.4,73.9,sedang,sedang,193
Mesh,45.5,77.4,sedang,sedang,180
Mesh,42.9,84.8,sedang,sedang,181
Mesh,39.1,73.0,sedang,sedang,191
Mesh,43.6,77.6,sedang,sedang,180
Mesh,40.9,67.3,sedang,tebal,200
Mesh,44.9,82.8,sedang,tebal,191
Mesh,42.1,72.5,sedang,tebal,198
Mesh,43.6,79.9,sedang,tebal,198
Mesh,45.1,68.4,sedang,tebal,182
Mesh,42.6,60.9,sedang,tebal,190
Mesh,41.7,73.6,sedang,tebal,200
Mesh,38.2,60.9,sedang,tebal,197
Mesh,44.6,69.0,sedang,tebal,187
Mesh,44.2,65.4,sedang,tebal,182
Mesh,43.0,62.1,ringan,tipis,180
Mesh,42.3,75.9,ringan,tipis,180
Mesh,43.8,84.4,ringan,tipis,180
Mesh,44.4,66.8,ringan,tipis,180
Mesh,41.5,62.0,ringan,tipis,180
Mesh,41.3,64.3,ringan,tipis,180
Mesh,39.3,66.3,ringan,tipis,180
Mesh,43.3,67.0,ringan,tipis,180
Mesh,45.6,78.4,ringan,tipis,180
Mesh,41.4,66.2,ringan,tipis,180
Mesh,40.8,78.9,ringan,sedang,180
Mesh,41.8,62.4,ringan,sedang,180
Mesh,41.9,71.8,ringan,sedang,180
Mesh,41.2,75.4,ringan,sedang,180
Mesh,43.1,61.1,ringan,sedang,180
Mesh,42.0,81.4,ringan,sedang,180
Mesh,43.3,64.1,ringan,sedang,180
Mesh,38.2,74.6,ringan,sedang,180
Mesh,45.5,74.4,ringan,sedang,180
Mesh,41.7,73.6,ringan,sedang,180
Mesh,45.5,69.7,ringan,tebal,180
Mesh,38.6,68.0,ringan,tebal,187
Mesh,44.8,60.6,ringan,tebal,180
Mesh,38.9,77.4,ringan,tebal,195
Mesh,43.0,81.9,ringan,tebal,183
Mesh,40.3,64.4,ringan,tebal,187
Mesh,44.0,80.2,ringan,tebal,180
Mesh,41.0,79.4,ringan,tebal,185
Mesh,40.7,83.3,ringan,tebal,185
Mesh,44.0,78.9,ringan,tebal,181
Canvas,38.8,82.6,sangat_basah,tipis,239
Canvas,40.6,82.4,sangat_basah,tipis,227
Canvas,41.1,60.3,sangat_basah,tipis,222
Canvas,45.6,74.3,sangat_basah,tipis,209
Canvas,43.1,71.2,sangat_basah,tipis,212
Canvas,43.4,78.8,sangat_basah,tipis,211
Canvas,44.3,79.7,sangat_basah,tipis,215
Canvas,38.5,73.7,sangat_basah,tipis,227
Canvas,41.5,82.2,sangat_basah,tipis,220
Canvas,39.1,79.0,sangat_basah,tipis,229
Canvas,42.9,62.5,sangat_basah,sedang,227
Canvas,38.6,80.5,sangat_basah,sedang,240
Canvas,43.6,62.0,sangat_basah,sedang,216
Canvas,44.5,83.7,sangat_basah,sedang,218
Canvas,45.9,78.8,sangat_basah,sedang,216
Canvas,44.2,74.0,sangat_basah,sedang,223
Canvas,41.4,82.7,sangat_basah,sedang,234
Canvas,38.1,71.7,sangat_basah,sedang,237
Canvas,38.5,63.0,sangat_basah,sedang,241
Canvas,44.0,74.6,sangat_basah,sedang,221
Canvas,45.7,69.4,sangat_basah,tebal,237
Canvas,39.8,84.1,sangat_basah,tebal,252
Canvas,38.1,84.2,sangat_basah,tebal,261
Canvas,38.6,73.8,sangat_basah,tebal,256
Canvas,45.8,73.1,sangat_basah,tebal,241
Canvas,41.6,75.7,sangat_basah,tebal,252
Canvas,42.7,82.5,sangat_basah,tebal,256
Canvas,40.2,64.7,sangat_basah,tebal,245
Canvas,41.7,68.8,sangat_basah,tebal,242
Canvas,45.8,84.7,sangat_basah,tebal,237
Canvas,43.6,73.4,basah,tipis,206
Canvas,43.5,64.1,basah,tipis,200
Canvas,45.3,80.6,basah,tipis,200
Canvas,45.5,81.7,basah,tipis,206
Canvas,38.4,60.7,basah,tipis,220
Canvas,45.9,63.8,basah,tipis,200
Canvas,42.8,69.5,basah,tipis,202
Canvas,41.3,66.8,basah,tipis,213
Canvas,38.5,81.6,basah,tipis,218
Canvas,44.2,83.6,basah,tipis,201
Canvas,44.8,66.2,basah,sedang,201
Canvas,45.6,75.2,basah,sedang,205
Canvas,39.8,76.8,basah,sedang,215
Canvas,38.9,76.8,basah,sedang,232
Canvas,42.2,79.3,basah,sedang,222
Canvas,42.4,74.0,basah,sedang,215
Canvas,45.0,70.1,basah,sedang,209
Canvas,43.6,65.3,basah,sedang,216
Canvas,39.1,60.4,basah,sedang,227
Canvas,41.1,70.9,basah,sedang,209
Canvas,45.2,68.7,basah,tebal,228
Canvas,41.2,75.6,basah,tebal,234
Canvas,44.9,83.7,basah,tebal,216
Canvas,41.7,84.5,basah,tebal,234
Canvas,41.9,68.2,basah,tebal,223
Canvas,38.6,63.2,basah,tebal,242
Canvas,39.0,63.8,basah,tebal,240
Canvas,39.5,68.6,basah,tebal,233
Canvas,45.2,71.8,basah,tebal,216
Canvas,39.5,61.0,basah,tebal,238
Canvas,39.4,67.0,sedang,tipis,200
Canvas,39.7,69.1,sedang,tipis,200
Canvas,42.0,77.3,sedang,tipis,200
Canvas,45.0,83.0,sedang,tipis,200
Canvas,38.5,66.9,sedang,tipis,203
Canvas,39.5,65.2,sedang,tipis,200
Canvas,41.0,72.1,sedang,tipis,200
Canvas,41.7,78.7,sedang,tipis,200
Canvas,38.3,66.3,sedang,tipis,203
Canvas,42.1,73.3,sedang,tipis,200
Canvas,38.9,71.2,sedang,sedang,202
Canvas,40.2,69.4,sedang,sedang,206
Canvas,38.2,68.1,sedang,sedang,208
Canvas,39.0,82.3,sedang,sedang,206
Canvas,42.7,77.0,sedang,sedang,200
Canvas,38.7,73.4,sedang,sedang,218
Canvas,42.7,78.6,sedang,sedang,200
Canvas,40.3,69.1,sedang,sedang,204
Canvas,43.2,74.3,sedang,sedang,200
Canvas,38.8,63.8,sedang,sedang,211
Canvas,40.0,64.0,sedang,tebal,217
Canvas,39.4,82.4,sedang,tebal,221
Canvas,38.6,73.1,sedang,tebal,227
Canvas,38.9,69.9,sedang,tebal,224
Canvas,45.8,81.6,sedang,tebal,203
Canvas,39.4,76.7,sedang,tebal,228
Canvas,45.4,73.9,sedang,tebal,200
Canvas,44.2,64.7,sedang,tebal,210
Canvas,40.6,70.6,sedang,tebal,211
Canvas,38.9,75.3,sedang,tebal,226
Canvas,40.3,74.5,ringan,tipis,200
Canvas,42.3,61.3,ringan,tipis,200
Canvas,40.7,63.4,ringan,tipis,200
Canvas,40.0,77.0,ringan,tipis,200
Canvas,44.1,74.9,ringan,tipis,200
Canvas,40.8,83.2,ringan,tipis,200
Canvas,44.6,84.1,ringan,tipis,200
Canvas,45.5,64.5,ringan,tipis,200
Canvas,38.5,78.5,ringan,tipis,200
Canvas,39.1,79.9,ringan,tipis,200
Canvas,39.6,64.1,ringan,sedang,200
Canvas,43.3,73.1,ringan,sedang,200
Canvas,40.9,81.9,ringan,sedang,200
Canvas,41.5,69.4,ringan,sedang,200
Canvas,41.7,67.5,ringan,sedang,200
Canvas,39.9,82.5,ringan,sedang,202
Canvas,41.1,73.6,ringan,sedang,200
Canvas,38.9,83.5,ringan,sedang,201
Canvas,43.0,68.4,ringan,sedang,200
Canvas,43.0,73.3,ringan,sedang,200
Canvas,45.2,79.7,ringan,tebal,200
Canvas,40.0,78.6,ringan,tebal,203
Canvas,38.3,74.2,ringan,tebal,214
Canvas,40.7,80.5,ringan,tebal,208
Canvas,38.9,81.2,ringan,tebal,210
Canvas,44.4,63.7,ringan,tebal,200
Canvas,39.8,78.1,ringan,tebal,213
Canvas,43.6,73.6,ringan,tebal,203
Canvas,40.0,68.6,ringan,tebal,200
Canvas,41.7,83.7,ringan,tebal,211
Leather,39.2,74.7,sangat_basah,tipis,280
Leather,38.1,81.8,sangat_basah,tipis,273
Leather,45.5,74.1,sangat_basah,tipis,255
Leather,43.7,63.8,sangat_basah,tipis,255
Leather,42.6,75.2,sangat_basah,tipis,268
Leather,45.5,83.1,sangat_basah,tipis,252
Leather,41.6,62.8,sangat_basah,tipis,260
Leather,42.7,70.0,sangat_basah,tipis,264
Leather,38.4,68.4,sangat_basah,tipis,264
Leather,42.3,83.0,sangat_basah,tipis,254
Leather,40.8,68.7,sangat_basah,sedang,271
Leather,39.8,71.3,sangat_basah,sedang,284
Leather,39.1,64.4,sangat_basah,sedang,262
Leather,45.3,69.1,sangat_basah,sedang,261
Leather,42.6,75.8,sangat_basah,sedang,269
Leather,38.7,84.9,sangat_basah,sedang,276
Leather,42.0,74.9,sangat_basah,sedang,271
Leather,39.7,82.5,sangat_basah,sedang,279
Leather,39.6,64.8,sangat_basah,sedang,275
Leather,42.5,61.6,sangat_basah,sedang,264
Leather,44.2,71.3,sangat_basah,tebal,267
Leather,41.2,74.0,sangat_basah,tebal,293
Leather,39.2,64.5,sangat_basah,tebal,284
Leather,43.2,70.2,sangat_basah,tebal,278
Leather,38.2,63.9,sangat_basah,tebal,298
Leather,38.2,65.5,sangat_basah,tebal,300
Leather,39.8,76.8,sangat_basah,tebal,290
Leather,43.2,66.0,sangat_basah,tebal,283
Leather,38.8,66.1,sangat_basah,tebal,296
Leather,44.6,69.9,sangat_basah,tebal,281
Leather,43.3,65.1,basah,tipis,244
Leather,38.1,62.1,basah,tipis,251
Leather,39.7,60.7,basah,tipis,250
Leather,41.4,82.3,basah,tipis,243
Leather,44.5,68.5,basah,tipis,240
Leather,42.7,66.7,basah,tipis,240
Leather,43.0,70.2,basah,tipis,240
Leather,40.4,83.7,basah,tipis,261
Leather,44.1,63.5,basah,tipis,240
Leather,45.2,80.0,basah,tipis,245
Leather,41.4,60.6,basah,sedang,256
Leather,43.1,66.4,basah,sedang,243
Leather,39.1,80.9,basah,sedang,265
Leather,39.4,66.8,basah,sedang,262
Leather,38.1,82.9,basah,sedang,269
Leather,40.2,73.9,basah,sedang,256
Leather,43.2,80.7,basah,sedang,256
Leather,42.8,76.6,basah,sedang,259
Leather,39.4,82.9,basah,sedang,255
Leather,42.2,61.2,basah,sedang,246
Leather,39.3,78.5,basah,tebal,280
Leather,40.0,69.7,basah,tebal,271
Leather,40.3,68.9,basah,tebal,269
Leather,42.5,71.9,basah,tebal,274
Leather,43.3,83.4,basah,tebal,266
Leather,38.2,66.6,basah,tebal,282
Leather,42.8,61.3,basah,tebal,279
Leather,40.7,79.3,basah,tebal,275
Leather,38.9,61.9,basah,tebal,276
Leather,43.5,70.9,basah,tebal,275
Leather,40.0,80.5,sedang,tipis,241
Leather,40.2,74.8,sedang,tipis,241
Leather,40.9,62.3,sedang,tipis,240
Leather,39.5,73.5,sedang,tipis,240
Leather,45.0,78.3,sedang,tipis,240
Leather,43.5,81.2,sedang,tipis,240
Leather,40.0,72.2,sedang,tipis,240
Leather,39.4,74.2,sedang,tipis,240
Leather,45.3,60.8,sedang,tipis,240
Leather,45.4,84.3,sedang,tipis,240
Leather,45.6,71.9,sedang,sedang,240
Leather,40.6,80.7,sedang,sedang,246
Leather,38.3,74.9,sedang,sedang,248
Leather,38.6,77.4,sedang,sedang,249
Leather,40.7,78.1,sedang,sedang,244
Leather,42.3,79.8,sedang,sedang,240
Leather,40.6,75.6,sedang,sedang,246
Leather,39.9,60.6,sedang,sedang,247
Leather,45.0,60.5,sedang,sedang,240
Leather,45.5,80.0,sedang,sedang,240
Leather,46.0,68.8,sedang,tebal,242
Leather,41.8,75.7,sedang,tebal,264
Leather,45.0,84.6,sedang,tebal,249
Leather,41.4,78.4,sedang,tebal,266
Leather,39.9,62.8,sedang,tebal,252
Leather,40.4,65.8,sedang,tebal,253
Leather,38.3,60.4,sedang,tebal,262
Leather,41.1,77.0,sedang,tebal,260
Leather,39.7,83.7,sedang,tebal,269
Leather,45.6,71.7,sedang,tebal,245
Leather,42.9,64.2,ringan,tipis,240
Leather,42.9,72.8,ringan,tipis,240
Leather,39.8,64.4,ringan,tipis,240
Leather,44.2,68.8,ringan,tipis,240
Leather,38.5,84.2,ringan,tipis,240
Leather,43.6,63.8,ringan,tipis,240
Leather,44.5,65.6,ringan,tipis,240
Leather,42.7,74.5,ringan,tipis,240
Leather,38.7,81.9,ringan,tipis,240
Leather,45.1,83.9,ringan,tipis,240
Leather,44.9,80.2,ringan,sedang,240
